State,County,Market Name,Address,Hours of Operations,type of Market
NJ,Middlesex,Altamont Orchards Farm Stand,6654 Dunnsville Rd Altamont,Mon-Fri 10am-5pm,Farmers Market
NJ,Middlesex,Delaware Community Farmers' Market,"Delaware Branch Library, 331 Delaware Ave Albany",Tue 4pm-7pm,Farmers Market
NJ,Middlesex,Delmar Saturday Farmers' Market,"Bethlehem Middle School, 332 Kenwood Ave",Sat 9am-1pm,Farmers Market
NJ,Middlesex,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, (Winter inside South Concourse)",Wed 10am-2pm,Farmers Market
NJ,Middlesex,Farmers' Market at the Crossings,580 Albany Shaker Rd Loudonville,Sat 9am-1pm,Farmers Market
NJ,Middlesex,New Covenant Farmers' Market,"New Covenant Presbyterian Church, 916 Western Ave Albany",Tue 3pm-6pm,Farmers Market
NJ,Middlesex,South End Healthy Farmers Market,Warren St between Phillip and Grand  Albany,Thursday  5pm-8pm,Farmers Market
NJ,Middlesex,The Gade Farm Farm Stand,2479 Western Ave Altamont,"Mon-Sat 9am-6pm",Farmers Market
NJ,Middlesex,Veggie Mobile Sprout-Creighton Storey Homes,158 3rd Street Albany,Thu 3:45pm-4:15pm,Farmers Market
NJ,Middlesex,Veggie Mobile Sprout-Howe Library,Schuyler St and Broad St Albany,Tue 3pm-3:45pm,Farmers Market
NJ,Morrise,Veggie Mobile Sprout-Jim DiNapoli Park,Pine St & Broadway Albany,Fri 11:45am-12:15pm,Farmers Market
NJ,Morrise,Veggie Mobile Sprout-Koinonia Primary Care,553 Clinton Ave & N Lake Ave Albany,Tue 2pm-2:45pm,Farmers Market
NJ,Morrise,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,Wed 11:15am-12pm,Farmers Market
NJ,Morrise,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,Wed 12:15pm-1:15pm,Farmers Market
NJ,Morrise,Veggie Mobile-Arbor Hill/Oak Street Park,Oak St and Second St Albany,Thu 12:45pm-1:30pm,Farmers Market
NJ,Morrise,Veggie Mobile-Center for Disability,700 South Pearl St Albany,Tue 12:15pm-1pm,Farmers Market
NJ,Morrise,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,Wed 3pm-4pm,Farmers Market
NJ,Morrise,Veggie Mobile-South Mall Towers,101 S Pearl St Albany,Fri 11am-12:15pm,Farmers Market
NJ,Morrise,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St Albany,Wed 11am-11:45am,Farmers Market
NJ,Morrise,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,Wed 12pm-1pm,Farmers Market
NJ,Essex,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,Tue 11am-12pm,Farmers Market
NJ,Essex,Voorheesville Farmers' Market,"First United Methodist Church lot, 68 Maple Ave",Wed 3:30pm-6:30pm,Farmers Market
NJ,Essex,Alfred Farmers' Market,3 South Main St,Sun 11am-3pm,Farmers Market
NJ,Essex,Angelica Farmers' Market,49 Park Circle Angelica,Sat 9am-2pm,Farmers Market
NJ,Essex,Backporch Produce,10260 Fairview Rd Farmersville Station,Daily  9am-8pm,Farmers Market
NJ,Essex,Belmont Farmers' Market,5429 NYS Route 19N,Thu 11am-4pm,Farmers Market
NJ,Essex,Fillmore Farmers' Market,"Fillmore Central School , 35 S Genesee St",Sat 9am-1pm,Farmers Market
NJ,Essex,On the River Farm Stand,7579 Route 19 Belfast,"Fri 5am-7pm",Farmers Market
NJ,Essex,Ramsey Fresh Foods Farm Stand,3702 State Route 19 Scio,Daily 9am-8pm,Farmers Market
NJ,Essex,Riverside Farms Farm Market,3314 Riverside Drive  Scio,"Mon-Sat  10am-6pm",Farmers Market
NJ,Union ,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd Fillmore,"Sat 12-6  Sun 1-5",Farmers Market
NJ,Union ,170 Farm Stand,1411 Townsend Ave and 170th st,Wed 2:30-6pm,Farmers Market
NJ,Union ,Bissel Gardens Farmers' Market-Sat,Baychester Ave below the E 241 St intersection,Sat 10am-4pm,Farmers Market
